context,email_text,outcome
Customer: marketing director at a Finance firm asked about pricing for a payment gateway.,"Hi there, Our payment gateway has helped several finance companies optimize their workflow. I’m following up regarding your query on payment gateway. We’d be happy to provide more details. Would love to show how this could help your team.",1
Customer: marketing director at a Retail firm was referred by a partner for a POS system.,"Good morning, We designed our POS system specifically for retail businesses like yours. We offer best-in-class pricing for your needs. Let's connect soon. Would love to show how this could help your team.",0
Customer: procurement head at a Manufacturing firm existing customer for a equipment monitoring system.,"Hey [Name], I noticed your company operates in manufacturing — our equipment monitoring system could be a great fit. Don’t miss this opportunity to upgrade your business solutions. Happy to share a case study if interested.",0
Customer: CFO at a IT Services firm looking for solutions for a AI chatbot.,"Hey [Name], Our AI chatbot has helped several it services companies optimize their workflow. Appreciate your earlier response — many it services firms achieved 25% growth with our AI chatbot. Happy to share a case study if interested.",2
Customer: procurement head at a Healthcare firm attended a webinar for a telehealth app.,"Good morning, Our telehealth app has helped several healthcare companies optimize their workflow. Exclusive offer valid till end of this week! Would love to show how this could help your team.",0
Customer: CFO at a Finance firm was referred by a partner for a fraud detection API.,"Hi there, Our fraud detection API has helped several finance companies optimize their workflow. Don’t miss this opportunity to upgrade your business solutions. Can I send over a short demo video?",0
Customer: operations manager at a Travel firm cold prospect for a booking automation platform.,"Hey [Name], I noticed your company operates in travel — our booking automation platform could be a great fit. Delighted to know you’re proceeding with our booking automation platform. We'll ensure a smooth rollout. Can I send over a short demo video?",2
Customer: CTO at a Healthcare firm attended a webinar for a appointment scheduler.,"Good morning, We designed our appointment scheduler specifically for healthcare businesses like yours. We offer best-in-class pricing for your needs. Let's connect soon. Can I send over a short demo video?",0
Customer: marketing director at a IT Services firm attended a webinar for a CRM integration.,"Hi there, We designed our CRM integration specifically for it services businesses like yours. We are reaching out to introduce our services. Please respond for more info. Would you be open to a quick call this week?",0
Customer: marketing director at a Healthcare firm was referred by a partner for a appointment scheduler.,"Hello [Name], With our appointment scheduler, teams in healthcare are saving hours every week. We are reaching out to introduce our services. Please respond for more info. Would love to show how this could help your team.",0
Customer: marketing director at a E-commerce firm attended a webinar for a email automation tool.,"Good morning, With our email automation tool, teams in e-commerce are saving hours every week. We are reaching out to introduce our services. Please respond for more info. Would love to show how this could help your team.",0
Customer: founder at a Healthcare firm was referred by a partner for a patient management system.,"Hi there, Our patient management system has helped several healthcare companies optimize their workflow. Excited to start the partnership! Our support team will reach out to get you set up. Would you be open to a quick call this week?",2
Customer: sales head at a IT Services firm was referred by a partner for a cloud migration service.,"Hey [Name], With our cloud migration service, teams in it services are saving hours every week. We offer best-in-class pricing for your needs. Let's connect soon. Would love to show how this could help your team.",0
Customer: procurement head at a Real Estate firm attended a webinar for a property analytics tool.,"Good morning, I noticed your company operates in real estate — our property analytics tool could be a great fit. Appreciate your earlier response — many real estate firms achieved 25% growth with our property analytics tool. Happy to share a case study if interested.",2
Customer: admin manager at a Finance firm looking for solutions for a investment dashboard.,"Good morning, We designed our investment dashboard specifically for finance businesses like yours. We are reaching out to introduce our services. Please respond for more info. Would you be open to a quick call this week?",0
